,Time,User,Tweet
0,2022-01-19 11:00:52+00:00,NASA,🔴 LIVE NOW: Join us for the first spacewalk of the year as @Roscosmos' Anton Shkaplerov and Pyotr Dubrov work outsi… https://t.co/jp1jS3evHH
1,2022-01-19 00:42:01+00:00,NASA,Russian cosmonauts Anton Shkaplerov and Pyotr Dubrov will conduct a spacewalk outside the @Space_Station on Wednesd… https://t.co/MVxl2dtWKo
2,2022-01-18 23:53:16+00:00,NASA,"RT @Commercial_Crew: Progress continues for the upcoming Starliner Orbital Flight Test-2 (OFT-2) mission.

Teams with @BoeingSpace recently…"
3,2022-01-18 19:50:09+00:00,NASA,"Members of the media: Apply today to attend launch and pre-launch activities for our first, uncrewed @NASAArtemis m… https://t.co/pDrPM4foAl"
4,2022-01-18 17:15:29+00:00,NASA,"RT @NASAMars: After analyzing powdered rock samples collected by @MarsCuriosity, scientists found that some are rich in a type of carbon th…"
5,2022-01-17 15:54:16+00:00,NASA,"Today we honor Dr. Martin Luther King, Jr., whose legacy continues to inspire. Here, a 2016 supermoon is seen behin… https://t.co/qBdYyHwH59"
6,2022-01-17 01:04:48+00:00,NASA,"Subscribe to our newsletter for weekly updates on our missions and latest discoveries happening on Earth, the unive… https://t.co/pgYw2JjK02"
7,2022-01-16 21:07:02+00:00,NASA,"Will you look at clouds with us? ☁️ 🤳
 
Your observations will help us in our study of Earth’s climate. Become a ci… https://t.co/QInAWQuO1N"
8,2022-01-16 18:48:42+00:00,NASA,"We’re saddened by the loss of Brig. Gen. Charles McGee, a trailblazer who served as a Tuskegee Airman and flew 409… https://t.co/7xNfjttwNo"
9,2022-01-15 19:09:02+00:00,NASA,This spiral galaxy may look calm from 150 million light-years away—but it's hiding an explosive past. Learn more fr… https://t.co/obbm6QXWCU
10,2022-01-14 22:30:33+00:00,NASA,"This week: 

🔭 Completed a major milestone for @NASAWebb 
🔍 Big clues from a “mini” monster black hole
🌡️ Earth get… https://t.co/dNHNe3KF7k"
11,2022-01-14 20:51:31+00:00,NASA,RT @NASARoman: GAME: Where's Nancy? 🎯 Can you spot our namesake in this simulated Roman ultra deep field image? While this isn't rocket sci…
12,2022-01-14 17:15:00+00:00,NASA,"Did you know that you can help NASA spot planets around distant stars?

Volunteer citizen scientists are uncovering… https://t.co/6X5DUQSJ1x"
13,2022-01-14 16:04:47+00:00,NASA,"RT @NASA_LSP: 🔴 Going live!

Head over to our Facebook for a Q&amp;A with the experts behind @NASA's #CubeSat mission with @Astra. Submit your…"
14,2022-01-14 00:42:01+00:00,NASA,"💥 Don't miss the first spacewalk of 2022!

On Wed, Jan. 19, two @Roscosmos cosmonauts will work in the vacuum of sp… https://t.co/UWv7pOmg1T"
15,2022-01-13 23:42:59+00:00,NASA,"RT @NASAKennedy: This year marks Kennedy Space Center's 60th anniversary! 🚀🎉

As we set our sights on the Moon and Mars, we also take time…"
16,2022-01-13 22:36:46+00:00,NASA,"We're partnering with @USEdGov on a new entrepreneurial initiative, hosting a virtual ""Space Tank"" competition for… https://t.co/LI6w3qQn0y"
17,2022-01-13 18:34:39+00:00,NASA,"FACT: There is no known threat from any asteroid for at least the next 100 years.
 
Our Planetary Defense Coordinat… https://t.co/c9X2X5Ww8J"
18,2022-01-13 17:59:21+00:00,NASA,"RT @NASAhistory: What does diplomacy look like in space?

Our friends at @airandspace will be presenting a live chat on that very topic wit…"
19,2022-01-13 16:48:00+00:00,NASA,"2021 was tied for Earth's 6th-warmest year on record, according to independent analyses by NASA and @NOAA. Read mor… https://t.co/FmSz7XWhIq"
