,Time,User,Tweet
0,2022-01-19 11:00:52+00:00,NASA,🔴 LIVE NOW: Join us for the first spacewalk of the year as @Roscosmos' Anton Shkaplerov and Pyotr Dubrov work outsi… https://t.co/jp1jS3evHH
1,2022-01-19 09:11:10+00:00,elonmusk,"Tesla AI might play a role in AGI, given that it trains against the outside world, especially with the advent of Optimus"
2,2022-01-19 08:28:16+00:00,elonmusk,https://t.co/n2ivCG4E8b
3,2022-01-19 02:51:53+00:00,elonmusk,Believe in the future!
4,2022-01-19 02:49:42+00:00,elonmusk,Back to the moon soon
5,2022-01-19 02:46:07+00:00,elonmusk,https://t.co/vltBvTXExY
6,2022-01-19 00:42:01+00:00,NASA,Russian cosmonauts Anton Shkaplerov and Pyotr Dubrov will conduct a spacewalk outside the @Space_Station on Wednesd… https://t.co/MVxl2dtWKo
7,2022-01-18 23:53:16+00:00,NASA,"RT @Commercial_Crew: Progress continues for the upcoming Starliner Orbital Flight Test-2 (OFT-2) mission.

Teams with @BoeingSpace recently…"
8,2022-01-18 23:13:29+00:00,chelseaperetti,Great read and ‼️extreme gorgeousness ‼️I cant wait for Marcel movie w all that Jenny Slate specialness for my child https://t.co/G4vsVmCFPe
9,2022-01-18 22:30:28+00:00,MichelleObama,I’m so excited to welcome the newest cohort of @ObamaFoundation Europe Leaders. Looking forward to learning more ab… https://t.co/fAA8kaFRfn
10,2022-01-18 22:02:04+00:00,BarackObama,"Congrats to our newest cohort of @ObamaFoundation Europe Leaders! These bright, innovative young people are tacklin… https://t.co/SztLXCJA4n"
11,2022-01-18 19:50:09+00:00,NASA,"Members of the media: Apply today to attend launch and pre-launch activities for our first, uncrewed @NASAArtemis m… https://t.co/pDrPM4foAl"
12,2022-01-18 19:49:30+00:00,elonmusk,https://t.co/OE5bjbf6Gq
13,2022-01-18 19:47:25+00:00,elonmusk,https://t.co/xMaVipUuYf
14,2022-01-18 17:15:29+00:00,NASA,"RT @NASAMars: After analyzing powdered rock samples collected by @MarsCuriosity, scientists found that some are rich in a type of carbon th…"
15,2022-01-18 17:09:47+00:00,chelseaperetti,"RT @melsgifs: throwback to 2014 🥺

@melissafumero @chelseaperetti @iamstephbeatz

 https://t.co/RJhFWGQF1o"
16,2022-01-18 17:08:52+00:00,elonmusk,"If there aren’t enough people for Earth, then there definitely won’t be enough for Mars ☹️"
17,2022-01-18 17:05:50+00:00,elonmusk,UN projections are utter nonsense. Just multiply last year’s births by life expectancy. Given downward trend in bir… https://t.co/46yabDpaaC
18,2022-01-18 17:02:24+00:00,elonmusk,We should be much more worried about population collapse
19,2022-01-18 16:14:27+00:00,kennybeats,❤️ @_FloMilli @nardwuar https://t.co/Rk29yskIBK
